Rice 1: (803, 1229), (836, 1229), (836, 1249), (803, 1249)
Rice 2: (455, 1227), (489, 1227), (489, 1249), (455, 1249)
Rice 3: (989, 1220), (1019, 1220), (1019, 1249), (989, 1249)
Rice 4: (1077, 1218), (1102, 1218), (1102, 1249), (1077, 1249)
Rice 5: (272, 1218), (303, 1218), (303, 1249), (272, 1249)
Rice 6: (189, 1216), (214, 1216), (214, 1249), (189, 1249)
Rice 7: (1044, 1210), (1072, 1210), (1072, 1249), (1044, 1249)
Rice 8: (219, 1208), (247, 1208), (247, 1249), (219, 1249)
Rice 9: (1158, 1205), (1199, 1205), (1199, 1249), (1158, 1249)
Rice 10: (91, 1203), (133, 1203), (133, 1249), (91, 1249)
Rice 11: (955, 1196), (979, 1196), (979, 1249), (955, 1249)
Rice 12: (1197, 1195), (1265, 1195), (1265, 1237), (1197, 1237)
Rice 13: (312, 1194), (336, 1194), (336, 1249), (312, 1249)
Rice 14: (26, 1193), (94, 1193), (94, 1235), (26, 1235)
Rice 15: (884, 1179), (954, 1179), (954, 1220), (884, 1220)
Rice 16: (337, 1177), (407, 1177), (407, 1218), (337, 1218)
Rice 17: (846, 1175), (888, 1175), (888, 1232), (846, 1232)
Rice 18: (403, 1173), (445, 1173), (445, 1230), (403, 1230)
Rice 19: (666, 1172), (721, 1172), (721, 1220), (666, 1220)
Rice 20: (1257, 1171), (1290, 1171), (1290, 1228), (1257, 1228)
Rice 21: (1093, 1171), (1139, 1171), (1139, 1216), (1093, 1216)
Rice 22: (793, 1170), (862, 1170), (862, 1199), (793, 1199)
Rice 23: (570, 1170), (625, 1170), (625, 1218), (570, 1218)
Rice 24: (152, 1169), (199, 1169), (199, 1214), (152, 1214)
Rice 25: (0, 1169), (34, 1169), (34, 1227), (0, 1227)
Rice 26: (429, 1168), (498, 1168), (498, 1197), (429, 1197)
Rice 27: (990, 1166), (1063, 1166), (1063, 1197), (990, 1197)
Rice 28: (724, 1165), (755, 1165), (755, 1236), (724, 1236)
Rice 29: (228, 1164), (301, 1164), (301, 1195), (228, 1195)
Rice 30: (536, 1163), (567, 1163), (567, 1234), (536, 1234)
